City,Lat,Lng,max temp,humidity,cloudiness,wind speed,Country,date
Wentzville,38.8114,-90.8529,51.94,51,100,5.99,US,1667878312
Choix,26.7092,-108.3219,66.47,49,32,2.77,MX,1667878512
Vestmannaeyjar,63.4427,-20.2734,45.45,85,100,19.66,IS,1667878513
Altamira,-3.2033,-52.2064,73.27,95,100,1.23,BR,1667878446
Shenjiamen,29.9576,122.298,66.92,66,0,9.69,CN,1667878157
Kissidougou,9.1848,-10.0999,71.24,83,97,1.79,GN,1667878514
Tabou,4.423,-7.3528,78.04,84,90,5.55,CI,1667878129
Buraidah,26.326,43.975,63.05,40,0,7.81,SA,1667878229
North Charleston,32.8886,-80.0075,69.91,89,0,3.44,US,1667878393
Zhigansk,66.7697,123.3711,-6.59,92,100,7.34,RU,1667878117
Sur,22.5667,59.5289,82.17,56,91,5.32,OM,1667878516
San Jose,37.3394,-121.895,54.01,77,40,13.8,US,1667878481
Khuzdar,27.7384,66.6434,59.9,64,5,2.42,PK,1667878057
Fare,-16.7,-151.0167,78.53,76,11,8.01,PF,1667878086
Sosenskiy,54.059,35.9623,37.02,80,100,10.87,RU,1667878517
Simga,21.6333,81.7,75.45,53,52,4.16,IN,1667878517
Lorengau,-2.0226,147.2712,84.09,74,100,6.26,PG,1667878012
Biltine,14.5333,20.9167,75.97,22,5,15.37,TD,1667878519
Svirstroy,60.7999,33.7248,36.23,96,95,8.59,RU,1667878519
Den Helder,52.9599,4.7593,53.98,89,100,18.99,NL,1667878251
Campos dos Goytacazes,-21.75,-41.3,64.6,94,100,5.75,BR,1667878520
Arlit,18.7369,7.3853,69.37,22,30,7.43,NE,1667878521
Nguru,12.8791,10.4526,71.62,19,71,8.66,NG,1667878521
Emerald,-23.5333,148.1667,82.35,40,40,4.81,AU,1667878522
Kem',64.9555,34.5793,35.55,98,100,5.41,RU,1667878522
Frederico Westphalen,-27.3592,-53.3944,51.66,90,0,5.08,BR,1667878358
Bukama,-9.2,25.85,66.97,91,99,3.18,CD,1667878523
Zheleznodorozhnyy,55.7503,38.0042,37.81,93,100,9.13,RU,1667878523
Bowen,-20.0167,148.2333,80.64,57,0,18.79,AU,1667878034
Mount Isa,-20.7333,139.5,100.17,14,0,12.66,AU,1667878068
Husavik,66.0449,-17.3389,39.88,92,100,13.11,IS,1667878524
Yangjiang,21.85,111.9667,71.53,83,99,6.35,CN,1667878371
Cockburn Town,21.4612,-71.1419,80.19,73,19,6.69,TC,1667878525
Luwingu,-10.2621,29.9271,64.96,88,100,2.28,ZM,1667878526
Progreso,21.2833,-89.6667,78.91,86,0,11.1,MX,1667878526
Amahai,-3.3333,128.9167,86.65,64,100,6.38,ID,1667878527
Ketchikan,55.3422,-131.6461,30.67,29,0,6.91,US,1667878527
Evensk,61.95,159.2333,17.37,82,100,1.83,RU,1667878528
Mchinji,-13.7984,32.8802,69.62,56,95,3.69,MW,1667878528
Knysna,-34.0363,23.0471,59.76,77,1,4.12,ZA,1667878529
Kandrian,-6.2167,149.55,84.61,75,96,7.16,PG,1667878529
Partyzany,46.3314,34.7503,36.09,91,74,9.08,UA,1667878530
Touros,-5.1989,-35.4608,77.23,76,100,9.19,BR,1667878530
Taltal,-25.4,-70.4833,59.02,85,12,0.96,CL,1667878328
Sarny,51.338,26.6019,42.03,93,36,6.53,UA,1667878531
Salta,-24.7859,-65.4117,69.58,42,75,5.75,AR,1667878531
Butembo,0.15,29.2833,56.19,98,98,2.55,CD,1667878532
Salalah,17.0151,54.0924,73.49,73,0,2.3,OM,1667878532
Ténenkou,14.4572,-4.9169,73.8,17,49,9.24,ML,1667878533
Verkhnyaya Inta,65.9811,60.3094,26.71,93,100,10.33,RU,1667878138
Along,28.1667,94.7667,75.67,51,3,1.61,IN,1667878534
Raudeberg,61.9875,5.1352,47.07,71,21,11.32,NO,1667878534
Lavrentiya,65.5833,-171.0,27.79,96,100,20.92,RU,1667878534
Mayumba,-3.432,10.6554,76.69,90,50,5.1,GA,1667878299
Sokolo,14.7328,-6.1219,75.34,18,67,9.01,ML,1667878535
Uberaba,-19.7483,-47.9319,70.38,46,0,4.61,BR,1667878536
Loughborough,52.7667,-1.2,53.19,87,75,14.97,GB,1667878536
Ust'-Shonosha,61.1531,41.343,35.24,93,100,8.28,RU,1667878537
Rongotea,-40.3,175.4167,69.93,69,43,6.08,NZ,1667878537
Berezniki,59.4152,56.8124,26.33,97,98,6.33,RU,1667878537
Mahanoro,-19.9,48.8,74.5,72,87,5.5,MG,1667878538
Hamilton,39.1834,-84.5333,54.77,39,75,9.22,US,1667878397
Carutapera,-1.195,-46.02,76.28,91,96,6.4,BR,1667878539
Anori,-3.7728,-61.6442,73.69,94,100,3.02,BR,1667878539
Oddur,4.1213,43.8894,72.61,83,59,10.0,SO,1667878540
Leh,34.1667,77.5833,29.5,64,63,4.25,IN,1667878540
Bubaque,11.2833,-15.8333,83.7,63,76,13.18,GW,1667878071
Tsumeb,-19.2333,17.7167,65.53,28,0,7.63,NA,1667878541
Lagoa,39.05,-27.9833,62.73,69,100,17.45,PT,1667878069
Dubbo,-32.25,148.6167,73.53,43,75,6.91,AU,1667878542
Keuruu,62.2667,24.7,44.78,97,100,2.82,FI,1667878542
High Rock,26.6208,-78.2833,77.02,68,0,25.08,BS,1667878543
Shache,38.4167,77.2406,49.37,29,99,1.86,CN,1667878543
Keti Bandar,24.1447,67.4497,79.29,58,1,5.37,PK,1667878544
Fort Smith,35.3859,-94.3986,66.24,80,100,6.91,US,1667878544
Socorro,31.6546,-106.3033,66.11,33,40,6.91,US,1667878283
Soyaux,45.65,0.2,54.39,75,0,11.5,FR,1667878545
Sobolevo,54.4299,31.8996,41.25,91,99,10.89,RU,1667878546
Mengcheng,33.2579,116.5655,70.34,42,33,8.59,CN,1667878546
Verāval,20.9,70.3667,81.55,51,0,9.55,IN,1667878547
Chapais,49.7834,-74.8492,28.18,83,100,17.25,CA,1667878547
Bagarji,27.756,68.7524,68.0,73,40,6.91,PK,1667878547
Ossora,59.2353,163.0719,28.74,92,100,3.76,RU,1667878088
Sirte,31.2089,16.5887,68.74,70,12,6.64,LY,1667878102
Araouane,18.9048,-3.5265,70.12,15,0,8.43,ML,1667878548
Bam,29.106,58.357,65.39,28,0,8.75,IR,1667878549
Zhoucheng,35.9122,116.3117,66.29,41,0,6.89,CN,1667878549
Lafiagi,8.8667,5.4167,73.0,48,79,1.32,NG,1667878550
Khetia,21.6667,74.5833,82.94,32,59,3.06,IN,1667878550
Olden,61.8364,6.8064,39.94,86,34,8.14,NO,1667878551
Paamiut,61.994,-49.6678,16.83,57,100,8.28,GL,1667878076
Dispur,26.1425,91.7889,78.75,68,3,4.38,IN,1667878551
Illela,13.7292,5.2975,72.48,19,43,9.13,NG,1667878552
Labuhan,-6.8844,112.2051,85.87,64,86,1.79,ID,1667878014
Karratha,-20.7377,116.8463,82.11,28,0,14.25,AU,1667878553
San Andrés del Rabanedo,42.6117,-5.6167,52.52,93,100,13.8,ES,1667878553
Minsk,53.9,27.5667,44.35,93,97,8.39,BY,1667878300
Nuevo Progreso,23.1667,-97.95,71.47,79,33,2.51,MX,1667878430
Xambioá,-6.4111,-48.5364,73.96,93,100,1.92,BR,1667878554
Olhão,37.0286,-7.8411,66.09,88,75,3.44,PT,1667878555
Calbuco,-41.768,-73.1273,58.21,94,100,0.56,CL,1667878397
Khartoum,15.5518,32.5324,74.01,27,1,1.99,SD,1667878556
Penticton,49.4806,-119.5858,26.49,68,100,14.97,CA,1667878285
Ambulu,-8.345,113.6058,85.33,69,63,5.57,ID,1667878556
Sinjai,-5.1241,120.253,86.85,61,99,6.04,ID,1667878557
Kharp,66.8014,65.8081,18.95,90,99,6.38,RU,1667878557
Quelimane,-17.8786,36.8883,79.16,77,14,8.81,MZ,1667878558
Lakes Entrance,-37.8811,147.981,78.17,58,2,9.1,AU,1667878558
Tarko-Sale,64.9225,77.785,19.26,92,100,12.91,RU,1667878558
Nassau,40.7507,-73.5829,62.47,32,0,8.01,US,1667878559
Marquette,46.5333,-87.6335,37.33,76,52,5.68,US,1667878559
Alyangula,-13.8483,136.4192,87.28,60,70,10.45,AU,1667878560
Kruisfontein,-34.0033,24.7314,57.79,78,26,4.54,ZA,1667878560
Rakaia,-43.75,172.0167,67.37,53,54,13.02,NZ,1667878561
Yaring,6.8662,101.3689,84.4,70,94,9.24,TH,1667878561
Parabel',58.6978,81.4825,22.68,93,98,5.03,RU,1667878562
Wad Rāwah,15.1603,33.1397,74.7,18,0,10.56,SD,1667878563
Peterhead,57.5058,-1.7981,54.5,87,100,34.61,GB,1667878563
Tianmen,30.6516,113.1603,76.39,32,1,7.56,CN,1667878564
Eureka,40.8021,-124.1637,45.21,92,100,5.99,US,1667877785
Miyako,39.6367,141.9525,59.14,63,71,2.64,JP,1667878564
Romny,50.751,33.4747,32.59,83,28,7.85,UA,1667878565
Santa Maria,-29.6842,-53.8069,56.5,82,20,6.91,BR,1667877946
Krasnotorka,48.682,37.5327,32.65,83,7,4.43,UA,1667878566
Ponot,8.452,123.0222,84.72,74,98,9.6,PH,1667878566
Japura,-0.3167,102.35,87.91,61,100,1.83,ID,1667878567
Chauk,20.8833,94.8167,83.25,51,30,6.87,MM,1667878567
Taywarah,33.35,64.4167,37.51,61,79,3.96,AF,1667878567
Mbanza-Ngungu,-5.25,14.8667,67.48,98,100,2.91,CD,1667878568
São Miguel dos Campos,-9.7811,-36.0936,74.7,95,90,2.55,BR,1667878568
Shaowu,27.3409,117.4831,77.79,56,5,2.73,CN,1667878569
Natitingou,10.3042,1.3796,70.56,33,92,2.59,BJ,1667878570
Mattru,7.6244,-11.8332,73.83,96,89,1.7,SL,1667878570
Gonder,12.6,37.4667,56.34,55,15,4.63,ET,1667878570
Blythe,33.6103,-114.5964,72.05,40,0,11.5,US,1667878571
Demba,-5.51,22.2667,65.68,95,100,1.9,CD,1667878571
San Jerónimo,-11.9472,-75.2829,48.45,88,99,1.14,PE,1667878572
São Sepé,-30.1606,-53.5653,53.11,94,0,7.27,BR,1667878573
Birao,10.2849,22.7882,77.13,28,93,2.42,CF,1667878100
Bereket,39.2446,55.5154,40.12,56,0,8.93,TM,1667878573
Buala,-8.145,159.5921,83.66,78,62,8.23,SB,1667877911
Portland,45.5234,-122.6762,42.46,93,99,1.01,US,1667878480
Lompoc,34.6391,-120.4579,52.79,93,100,5.75,US,1667878005
Nanortalik,60.1432,-45.2371,28.08,87,100,3.91,GL,1667878027
Ponta Delgada,37.7333,-25.6667,60.49,82,40,5.75,PT,1667878575
Kirakira,-10.4544,161.9205,84.51,76,28,6.67,SB,1667878575
Amga,60.8953,131.9608,0.75,84,100,2.46,RU,1667878576
Meulaboh,4.1363,96.1285,83.95,68,92,2.53,ID,1667878576
Pacifica,37.6138,-122.4869,53.65,80,40,14.97,US,1667878321
Voh,-20.9667,164.7,78.62,81,96,12.46,NC,1667878577
Peniche,39.3558,-9.3811,64.11,93,100,13.96,PT,1667878107
Esim,4.8699,-2.2405,77.4,86,82,2.62,GH,1667878578
Byron Bay,-28.65,153.6167,66.94,80,95,6.89,AU,1667878552
Roald,62.5833,6.1333,47.75,87,18,11.5,NO,1667878579
Mīnāb,27.1467,57.0801,79.11,63,20,4.07,IR,1667878432
Provideniya,64.3833,-173.3,32.11,86,100,17.9,RU,1667878580
Tazovsky,67.4667,78.7,17.83,96,100,8.72,RU,1667878580
Tairua,-37.0167,175.85,59.25,92,100,14.76,NZ,1667878581
Kerch,45.3583,36.4758,45.68,76,99,17.67,UA,1667878581
Wattegama,6.7989,81.4808,82.98,66,100,6.67,LK,1667878582
Waipawa,-41.4122,175.5153,58.55,67,24,6.93,NZ,1667878044
Saint-Pierre,-21.3393,55.4781,76.68,57,0,3.44,RE,1667878582
Sulangan,11.1373,123.7228,83.91,75,86,7.25,PH,1667878583
Adrar,20.5022,-10.0711,72.39,18,11,9.53,MR,1667878583
Solnechnyy,50.7214,136.6319,33.93,43,85,3.38,RU,1667878584
Matara,5.9485,80.5353,79.66,79,100,2.35,LK,1667878028
Aklavik,68.2191,-135.0107,0.73,85,100,10.83,CA,1667878004
Salym,60.0625,71.4789,19.54,96,98,7.23,RU,1667878103
Mikhaylovka,50.06,43.2379,35.78,83,58,5.03,RU,1667878585
Tamsweg,47.1281,13.811,41.68,84,46,4.09,AT,1667878586
Alta Floresta,-9.8756,-56.0861,73.72,56,8,3.2,BR,1667878586
